POSTAL_CODE,CITY,PROVINCE_ABBR,TIME_ZONE,LATITUDE,LONGITUDE
V8S1X6,VICTORIA,BC,8,48.423759,-123.332687
V8V2G4,VICTORIA,BC,8,48.414415,-123.374727
V8W2E9,VICTORIA,BC,8,48.4250065,-123.365279
V9B2G2,VICTORIA,BC,8,48.437991,-123.492677
V8N5M3,VICTORIA,BC,8,48.468424,-123.331712
V9B3H3,VICTORIA,BC,8,48.4653149,-123.4911272
V8R6N2,VICTORIA,BC,8,48.431459,-123.305028
V9A6P4,VICTORIA,BC,8,48.4267207,-123.4189478
V9A4L2,VICTORIA,BC,8,48.4425894,-123.4192676
V8R6R9,VICTORIA,BC,8,48.441989,-123.336349
V8Z3P5,VICTORIA,BC,8,48.450487,-123.377853
V8S3Y8,VICTORIA,BC,8,48.41837,-123.331904
V8N2J9,VICTORIA,BC,8,48.4779744,-123.3163887
V8P4N4,VICTORIA,BC,8,48.455319,-123.328748
V8Z4N2,VICTORIA,BC,8,48.4586665,-123.408185
V8Z1R9,VICTORIA,BC,8,48.459613,-123.398958
V8Z4V1,VICTORIA,BC,8,48.467091,-123.407834
V9B4L3,VICTORIA,BC,8,48.440805,-123.499501
V8W1R7,VICTORIA,BC,8,48.429368,-123.366895
V8S1R2,VICTORIA,BC,8,48.416187,-123.338203
V8N4X9,VICTORIA,BC,8,48.4730181,-123.3173345
V8R3T1,VICTORIA,BC,8,48.44874,-123.293685
V8P2N6,VICTORIA,BC,8,48.467431,-123.350308
V9C4H7,VICTORIA,BC,8,48.353514,-123.560287
V8S2K8,VICTORIA,BC,8,48.413646,-123.322349
V8S4N5,VICTORIA,BC,8,48.418939,-123.317795
V8S3K5,VICTORIA,BC,8,48.418705,-123.346331
V8Y1C4,VICTORIA,BC,8,48.504472,-123.370006
V8S3W9,VICTORIA,BC,8,48.413351,-123.332794
V9E1J6,VICTORIA,BC,8,48.5215381,-123.4397047
V8S2T4,VICTORIA,BC,8,48.416199,-123.304621
V8Y1P2,VICTORIA,BC,8,48.525867,-123.365935
V8V1A4,VICTORIA,BC,8,48.415614,-123.384262
V9A3T7,VICTORIA,BC,8,48.43361,-123.384726
V8S4S7,VICTORIA,BC,8,48.419402,-123.315996
V8Z4X8,VICTORIA,BC,8,48.4797924,-123.3981287
V8N3R5,VICTORIA,BC,8,48.473178,-123.327711
V9A4V5,VICTORIA,BC,8,48.433756,-123.40137
V9B4Y9,VICTORIA,BC,8,48.434081,-123.49561
V9C1Y7,VICTORIA,BC,8,48.424299,-123.47753
V8X3P4,VICTORIA,BC,8,48.4775175,-123.3614653
V8Y2L6,VICTORIA,BC,8,48.507377,-123.35437
V8T3S8,VICTORIA,BC,8,48.446216,-123.349234
V9B4P2,VICTORIA,BC,8,48.4391107,-123.5017228
V8S4L8,VICTORIA,BC,8,48.417856,-123.320114
V8X1T3,VICTORIA,BC,8,48.460035,-123.3641115
V9B6L4,VICTORIA,BC,8,48.4655493,-123.4405054
V9A2R6,VICTORIA,BC,8,48.455548,-123.416685
V8N1G3,VICTORIA,BC,8,48.4611808,-123.2960728
V8V4L3,VICTORIA,BC,8,48.424794,-123.347449
V8Y2T7,VICTORIA,BC,8,48.5259432,-123.3823355
V8X1B1,VICTORIA,BC,8,48.4535987,-123.3558735
V9B0X4,VICTORIA,BC,8,48.4446272,-123.4986367
V9C0J9,VICTORIA,BC,8,48.418279,-123.505775
V8T3B5,VICTORIA,BC,8,48.4463,-123.340344
V8W9L4,VICTORIA,BC,8,48.474214,-123.363133
V8Z1E4,VICTORIA,BC,8,48.452095,-123.381106
V9B2L5,VICTORIA,BC,8,48.438037,-123.500268
V8R5V2,VICTORIA,BC,8,48.433765,-123.311228
V9B0B1,VICTORIA,BC,8,48.464565,-123.496799
V8V4L7,VICTORIA,BC,8,48.406356,-123.350978
V8Z2M8,VICTORIA,BC,8,48.4642443,-123.4112057
V9A7R3,VICTORIA,BC,8,48.432349,-123.380407
V8S2B4,VICTORIA,BC,8,48.422442,-123.33039
V9C1T5,VICTORIA,BC,8,48.420124,-123.484302
V8S1P1,VICTORIA,BC,8,48.416749,-123.345463
V8N1Z8,VICTORIA,BC,8,48.477278,-123.344138
V9A3R1,VICTORIA,BC,8,48.429704,-123.420892
V9C3V6,VICTORIA,BC,8,48.4265276,-123.475571
V8S1C9,VICTORIA,BC,8,48.412638,-123.345889
V9B0Z5,VICTORIA,BC,8,48.4458982,-123.5022873
V8T2V3,VICTORIA,BC,8,48.4470892,-123.3545974
V8S4G3,VICTORIA,BC,8,48.424506,-123.323338
V8V4P8,VICTORIA,BC,8,48.426262,-123.345388
V8W2J9,VICTORIA,BC,8,48.427986,-123.360194
V9B0R2,VICTORIA,BC,8,48.453341,-123.490997
V8Z7J2,VICTORIA,BC,8,48.504848,-123.386495
V8Z6E9,VICTORIA,BC,8,48.462818,-123.402783
V8R6K7,VICTORIA,BC,8,48.4389387,-123.298851
V8R2E9,VICTORIA,BC,8,48.432505,-123.308561
V8Z5V6,VICTORIA,BC,8,48.5506585,-123.4004843
V8V2B5,VICTORIA,BC,8,48.418147,-123.377893
V8Y1H6,VICTORIA,BC,8,48.5141607,-123.3836274
V9B1W2,VICTORIA,BC,8,48.4404842,-123.4743713
V9B2T7,VICTORIA,BC,8,48.4484785,-123.511309
V8T2T8,VICTORIA,BC,8,48.446664,-123.357966
V8N6E2,VICTORIA,BC,8,48.458986,-123.283038
V8W9H8,VICTORIA,BC,8,48.474197,-123.363133
V9A1T4,VICTORIA,BC,8,48.445957,-123.388322
V8S1A8,VICTORIA,BC,8,48.408131,-123.350368
V8P4X8,VICTORIA,BC,8,48.4459948,-123.32152
V9C1B6,VICTORIA,BC,8,48.431011,-123.456845
V8P5M7,VICTORIA,BC,8,48.457436,-123.35598
V9A4L7,VICTORIA,BC,8,48.4414923,-123.4215978
V9C2K7,VICTORIA,BC,8,48.431609,-123.495954
V8P2G7,VICTORIA,BC,8,48.461239,-123.337748
V9B4G6,VICTORIA,BC,8,48.4470478,-123.5194822
V8P1M4,VICTORIA,BC,8,48.452825,-123.349217
V8S1V2,VICTORIA,BC,8,48.418581,-123.329532
V9B0W8,VICTORIA,BC,8,48.4284207,-123.3656444
V8Y2H4,VICTORIA,BC,8,48.525235,-123.370971
V8Z6B5,VICTORIA,BC,8,48.486352,-123.394551
V8T1T8,VICTORIA,BC,8,48.436753,-123.369161
V8X1K7,VICTORIA,BC,8,48.4749604,-123.371899
V8R1Z1,VICTORIA,BC,8,48.433083,-123.331324
V8Y1B4,VICTORIA,BC,8,48.500043,-123.383732
V8W1T6,VICTORIA,BC,8,48.424438,-123.369724
V8T5J3,VICTORIA,BC,8,48.4444273,-123.3679363
V9A3Z5,VICTORIA,BC,8,48.4388245,-123.388683
V8Z4J8,VICTORIA,BC,8,48.458908,-123.390887
V8T4B3,VICTORIA,BC,8,48.442113,-123.358487
V9C0H7,VICTORIA,BC,8,48.417696,-123.502504
V8R6J5,VICTORIA,BC,8,48.4310682,-123.3070219
V9B1E7,VICTORIA,BC,8,48.458763,-123.4568484
V9A2Y9,VICTORIA,BC,8,48.45001,-123.422292
V9C4H3,VICTORIA,BC,8,48.3312162,-123.5671332
V9B6P8,VICTORIA,BC,8,48.459795,-123.494934
V8R1C5,VICTORIA,BC,8,48.426478,-123.327128
V9C0K2,VICTORIA,BC,8,48.417696,-123.502504
